commodity_name,state,district,market,min_price,max_price,modal_price,price_date,year,month,season,latitude,longitude
Methi+Seeds,Madhya Pradesh,Ratlam,A lot,54,61,57,2021-04-13,2021,4,Zaid,23.3338,75.0385
Soyabean,Madhya Pradesh,Ratlam,A lot,62,75,74,2021-07-11,2021,7,Kharif,23.3338,75.0385
Garlic,Madhya Pradesh,Ratlam,A lot,34,87,66,2021-07-11,2021,7,Kharif,23.3338,75.0385
Groundnut,Maharashtra,Yavatmal,Aarni,58,63,61,2019-07-09,2019,7,Kharif,20.3888,78.1204
Soyabean,Maharashtra,Yavatmal,Aarni,72,76,74,2021-05-06,2021,5,Zaid,20.3888,78.1204
Goat,Maharashtra,Sangli,Aatpadi,30,160,95,2019-05-25,2019,5,Zaid,16.8667,74.5667
Hen,Maharashtra,Sangli,Aatpadi,2,3,2,2019-05-25,2019,5,Zaid,16.8667,74.5667
Sheep,Maharashtra,Sangli,Aatpadi,25,135,80,2019-05-25,2019,5,Zaid,16.8667,74.5667
Goat,Maharashtra,Sangli,Aatpadi,30,150,90,2019-06-15,2019,6,Kharif,16.8667,74.5667
Sheep,Maharashtra,Sangli,Aatpadi,25,125,75,2019-06-15,2019,6,Kharif,16.8667,74.5667
Goat,Maharashtra,Sangli,Aatpadi,30,170,100,2019-06-22,2019,6,Kharif,16.8667,74.5667
Pomegranate,Maharashtra,Sangli,Aatpadi,10,105,57,2019-07-21,2019,7,Kharif,16.8667,74.5667
Sheep,Maharashtra,Sangli,Aatpadi,25,165,95,2019-08-10,2019,8,Kharif,16.8667,74.5667
Goat,Maharashtra,Sangli,Aatpadi,40,160,100,2019-07-27,2019,7,Kharif,16.8667,74.5667
Sheep,Maharashtra,Sangli,Aatpadi,25,145,85,2019-08-17,2019,8,Kharif,16.8667,74.5667
Egg,Maharashtra,Sangli,Aatpadi,0,0,0,2019-08-31,2019,8,Kharif,16.8667,74.5667
Egg,Maharashtra,Sangli,Aatpadi,0,0,0,2019-12-14,2019,12,Rabi,16.8667,74.5667
Pomegranate,Maharashtra,Sangli,Aatpadi,20,310,165,2021-03-05,2021,3,Rabi,16.8667,74.5667
Apple,Punjab,Fazilka,Abohar,98,98,98,2019-06-10,2019,6,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,13,64,64,2019-06-10,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,48,56,56,2019-06-10,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,107,107,107,2019-07-05,2019,7,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,58,110,110,2019-06-11,2019,6,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,0,0,90,2019-06-11,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,57,81,76,2019-06-11,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,44,99,99,2019-06-13,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,74,75,75,2019-06-13,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,47,107,100,2019-06-14,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,0,0,67,2019-06-14,2019,6,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,50,70,56,2019-07-03,2019,7,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,100,121,121,2019-06-18,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,56,65,61,2019-06-18,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,0,0,101,2019-06-21,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,0,0,102,2019-06-19,2019,6,Kharif,30.4018,74.0226
Litchi,Punjab,Fazilka,Abohar,47,68,68,2019-06-19,2019,6,Kharif,30.4018,74.0226
Apple,Punjab,Fazilka,Abohar,35,109,105,2019-07-03,2019,7,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,0,0,150,2019-07-23,2019,7,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,55,82,70,2019-07-19,2019,7,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,50,74,67,2019-07-05,2019,7,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,46,60,57,2019-07-22,2019,7,Kharif,30.4018,74.0226
Peas+cod,Punjab,Fazilka,Abohar,26,72,68,2019-07-22,2019,7,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,61,75,69,2019-07-31,2019,7,Kharif,30.4018,74.0226
Peas+cod,Punjab,Fazilka,Abohar,45,63,63,2019-08-09,2019,8,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,0,0,129,2019-08-06,2019,8,Kharif,30.4018,74.0226
Pomegranate,Punjab,Fazilka,Abohar,75,81,80,2019-08-06,2019,8,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,0,0,184,2019-08-20,2019,8,Kharif,30.4018,74.0226
Mango,Punjab,Fazilka,Abohar,0,0,78,2019-08-27,2019,8,Kharif,30.4018,74.0226
Peas+cod,Punjab,Fazilka,Abohar,55,68,59,2019-08-13,2019,8,Kharif,30.4018,74.0226
Plum,Punjab,Fazilka,Abohar,0,0,100,2019-08-26,2019,8,Kharif,30.4018,74.0226
Plum,Punjab,Fazilka,Abohar,0,0,75,2019-08-20,2019,8,Kharif,30.4018,74.0226
Pomegranate,Punjab,Fazilka,Abohar,60,75,70,2019-08-20,2019,8,Kharif,30.4018,74.0226
Plum,Punjab,Fazilka,Abohar,0,0,70,2019-08-19,2019,8,Kharif,30.4018,74.0226
Mango,Punjab,Fazilka,Abohar,0,0,93,2019-09-02,2019,9,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,25,90,73,2019-09-03,2019,9,Kharif,30.4018,74.0226
Coriander(Leaves),Punjab,Fazilka,Abohar,128,151,144,2019-10-12,2019,10,Kharif,30.4018,74.0226
Mango,Punjab,Fazilka,Abohar,0,0,67,2019-08-26,2019,8,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,0,0,160,2019-08-27,2019,8,Kharif,30.4018,74.0226
Garlic,Punjab,Fazilka,Abohar,60,99,70,2019-09-18,2019,9,Kharif,30.4018,74.0226
Grapes,Punjab,Fazilka,Abohar,0,0,100,2019-09-18,2019,9,Kharif,30.4018,74.0226
Pomegranate,Punjab,Fazilka,Abohar,68,71,71,2019-09-18,2019,9,Kharif,30.4018,74.0226
Plum,Punjab,Fazilka,Abohar,33,75,59,2019-08-27,2019,8,Kharif,30.4018,74.0226
